CUI1,AUI1,STYPE1,REL,CUI2,AUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF,cui2
C0024117,NULL,CUI,RO,C0302378,NULL,CUI,NULL,R146188086,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RN,C0155880,NULL,CUI,NULL,R146188088,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RN,C3714497,NULL,CUI,NULL,R149273281,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0024117,NULL,CUI,RO,C3714496,NULL,CUI,NULL,R153350127,NULL,MTH,MTH,NULL,NULL,N,NULL,C0024117
C0392707,NULL,CUI,RB,C0020523,NULL,CUI,NULL,R02819394,NULL,MTH,MTH,NULL,NULL,N,NULL,C0392707
C0392707,NULL,CUI,RN,C0004096,NULL,CUI,NULL,R03000142,NULL,MTH,MTH,NULL,NULL,N,NULL,C0392707
C0392707,NULL,CUI,RN,C0018621,NULL,CUI,NULL,R03000144,NULL,MTH,MTH,NULL,NULL,N,NULL,C0392707
C0392707,NULL,CUI,RO,C0700624,NULL,CUI,NULL,R03365393,NULL,MTH,MTH,NULL,NULL,N,NULL,C0392707
C0392707,NULL,CUI,RO,C0002092,NULL,CUI,NULL,R03365394,NULL,MTH,MTH,NULL,NULL,N,NULL,C0392707
C0392707,NULL,CUI,RN,C0011615,NULL,CUI,NULL,R44197892,NULL,MTH,MTH,NULL,NULL,N,NULL,C0392707
C0392707,NULL,CUI,RO,C1706410,NULL,CUI,NULL,R55363587,NULL,MTH,MTH,NULL,NULL,N,NULL,C0392707
C0856716,NULL,CUI,RB,C0004096,NULL,CUI,NULL,R02738932,NULL,MTH,MTH,NULL,NULL,N,NULL,C0856716
C0236072,NULL,CUI,RB,C0004096,NULL,CUI,NULL,R02754935,NULL,MTH,MTH,NULL,NULL,N,NULL,C0236072
C0236072,NULL,CUI,RB,C0035204,NULL,CUI,NULL,R28754857,NULL,MTH,MTH,NULL,NULL,N,NULL,C0236072
C0155883,NULL,CUI,RB,C0004096,NULL,CUI,NULL,R02755492,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155883
C0155883,NULL,CUI,RO,C0865800,NULL,CUI,NULL,R03228154,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155883
C0155883,NULL,CUI,RO,C0034067,NULL,CUI,NULL,R13387018,NULL,MTH,MTH,NULL,NULL,N,NULL,C0155883
