CUI1,AUI1,STYPE1,REL,CUI2,AUI2,STYPE2,RELA,RUI,SRUI,SAB,SL,RG,DIR,SUPPRESS,CVF
C0005586,NULL,CUI,RO,C0270458,NULL,CUI,NULL,R32251911,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0233479,NULL,CUI,NULL,R32251913,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0010598,NULL,CUI,NULL,R32251915,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0743072,NULL,CUI,NULL,R32251917,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0678190,NULL,CUI,NULL,R32251919,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0012706,NULL,CUI,NULL,R32251921,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RO,C0005587,NULL,CUI,NULL,R32251923,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RB,C0004936,NULL,CUI,NULL,R33799843,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0865318,NULL,CUI,NULL,R40893179,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C0865319,NULL,CUI,NULL,R40893213,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C1839839,NULL,CUI,NULL,R64555691,NULL,MTH,MTH,NULL,NULL,N,NULL
C0005586,NULL,CUI,RN,C1852197,NULL,CUI,NULL,R64555695,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0010054,NULL,CUI,NULL,R112383557,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C1956346,NULL,CUI,NULL,R112383701,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0587370,NULL,CUI,NULL,R170319987,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0189695,NULL,CUI,NULL,R28736965,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0010075,NULL,CUI,NULL,R28736967,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0010068,NULL,CUI,NULL,R28736969,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RB,C0018821,NULL,CUI,NULL,R28736971,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RB,C0581603,NULL,CUI,NULL,R28736973,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0176590,NULL,CUI,NULL,R28736975,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0189976,NULL,CUI,NULL,R28736977,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0151744,NULL,CUI,NULL,R28736979,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0597087,NULL,CUI,NULL,R28736981,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C1260596,NULL,CUI,NULL,R28736991,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0021780,NULL,CUI,NULL,R28736995,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0003483,NULL,CUI,NULL,R28736998,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0176589,NULL,CUI,NULL,R28737002,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0161761,NULL,CUI,NULL,R28737004,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0161762,NULL,CUI,NULL,R28737024,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0021781,NULL,CUI,NULL,R28737032,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0032811,NULL,CUI,NULL,R28737042,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RB,C0190188,NULL,CUI,NULL,R28737046,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0018787,NULL,CUI,NULL,R28737048,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0190224,NULL,CUI,NULL,R28737050,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0190228,NULL,CUI,NULL,R28737052,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0190232,NULL,CUI,NULL,R28737054,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0190236,NULL,CUI,NULL,R28737056,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RN,C0190242,NULL,CUI,NULL,R28737058,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RB,C0027056,NULL,CUI,NULL,R28737060,NULL,MTH,MTH,NULL,NULL,N,NULL
C0010055,NULL,CUI,RO,C0190211,NULL,CUI,NULL,R44016981,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RB,C0026516,NULL,CUI,NULL,R02695680,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0743072,NULL,CUI,NULL,R02911339,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0541868,NULL,CUI,NULL,R02911341,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0541869,NULL,CUI,NULL,R02911342,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0221074,NULL,CUI,NULL,R02911344,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0154411,NULL,CUI,NULL,R02911349,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0235876,NULL,CUI,NULL,R02911350,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0041696,NULL,CUI,NULL,R02911352,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0154403,NULL,CUI,NULL,R02911355,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0154404,NULL,CUI,NULL,R02911356,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C3665435,NULL,CUI,NULL,R02911357,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0154412,NULL,CUI,NULL,R02911358,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RN,C0235136,NULL,CUI,NULL,R02911363,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0012706,NULL,CUI,NULL,R03130893,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0338908,NULL,CUI,NULL,R03130894,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0338926,NULL,CUI,NULL,R03130895,NULL,MTH,MTH,NULL,NULL,N,NULL
C0011570,NULL,CUI,RO,C0013987,NULL,CUI,NULL,R03130896,NULL,MTH,MTH,NULL,NULL,N,NULL
