CUI1,CUI2
C0027051,C0442840
C0027051,C0262568
C0027051,C0155626
C0027051,C0155643
C0027051,C0155647
C0027051,C0155655
C0027051,C0155659
C0027051,C0302375
C0027051,C0302376
C0027051,C0340293
C0027051,C0027061
C0027051,C0877719
C0027051,C0007222
C0027051,C0728936
C0027051,C0861151
C0027051,C0340304
C0027051,C0340308
C0027051,C0877768
C0027051,C0494580
C0027051,C0151814
C0027051,C0018799
C0027051,C0018814
C0027051,C1260883
C0027051,C0264686
C0027051,C0155628
C0027051,C0155629
C0027051,C0155630
C0027051,C0155632
C0027051,C0155633
C0027051,C0155634
C0027051,C0155636
C0027051,C0155637
C0027051,C0155638
C0027051,C0155640
C0027051,C0155641
C0027051,C0155642
C0027051,C0155644
C0027051,C0155645
C0027051,C0155646
C0027051,C0155648
C0027051,C0155649
C0027051,C0155650
C0027051,C0155652
C0027051,C0155653
C0027051,C0155654
C0027051,C0155657
C0027051,C0155658
C0027051,C0155660
C0027051,C0155661
C0027051,C0155662
C0027051,C0155664
C0027051,C0155665
C0027051,C0036980
C0027051,C0155627
C0027051,C0281915
C0027051,C0264706
C0027051,C0155668
C0027051,C0018813
C0027051,C0542269
C0027051,C0152107
C0028754,C0028715
C0028754,C1457887
C0028754,C0424671
C0028754,C0149974
C0028754,C0241373
C0028754,C0948775
C0028754,C2937224
C0028754,C0596693
C0028754,C0013473
C0028754,C0005910
C0028754,C0012167
C0028754,C0019247
C0028754,C0033931
C0028754,C0037302
C0028754,C0023765
C0028754,C0376607
C0028754,C0240596
C0028754,C0424421
C0028754,C0424612
C0028754,C0694533
C0028754,C0920298
C0028754,C0003620
C0028754,C0003621
C0028754,C0240597
C0028754,C0299583
C0028754,C0232461
C0028754,C0028754
C0028754,C0451819
C0028754,C0028756
C0028754,C0578026
C0028754,C0020505
C0028754,C0150405
C0028754,C0162429
C0028754,C0497406
C0028754,C0154270
C0028754,C0014130
C0028754,C4024583
C0028754,C0012155
C0028754,C1563743
C0028754,C0043094
C0028754,C1719565
C0028754,C1963185
C0028754,C2364333
C0038454,C0518974
C0038454,C0751956
C0038454,C0679443
C0038454,C0149878
C0038454,C0009421
C0038454,C0018946
C0038454,C0036572
C0038454,C2937358
C0038454,C0241799
C0038454,C0027765
C0038454,C0151699
C0038454,C0006111
C0038454,C0007820
C0038454,C0728936
C0038454,C0242083
C0038454,C0877854
C0038454,C0007786
C0038454,C0242084
C0038454,C0553692
C0038454,C0281994
C0038454,C0019080
C0038454,C1540600
C0038454,C0007785
C0038454,C0948008
C0038454,C0001365
C0038454,C1263853
C0038454,C0042373
C0041296,C0085388
C0041296,C2910575
C0041296,C1609538
C0041296,C0151332
C0041296,C0041309
C0041296,C0275962
C0041296,C0150885
C0041296,C0153329
C0041296,C0035243
C0041296,C0009450
C0041296,C0001255
C0041296,C0152737
C0041296,C0152744
C0041296,C0152765
C0041296,C0275956
C0041296,C0347900
C0041296,C0152752
C0041296,C0152753
C0041296,C0152757
C0041296,C0152766
C0041296,C0152767
C0041296,C0152768
C0041296,C0152769
